rkd_term,aat_id,aat_labels,broader_terms
argentine,300107965,argentijns; argentine; argentinean; argentinian,"american regions; american, south; amerikaanse gebieden; regions, american; south american; zuid-amerikaans"
new zealand,300021959,new zealand; new zealander; nieuw-zeelands,oceanian; oceanic; oceanisch; pacific; pacific islander; polynesia; polynesian; polynesisch; regionale stijlen van polynesië; south seas
israeli,300195487,israeli; israëlisch,asian; aziatisch; oriental; west asian; west-aziatisch; western asian
canadian,300107962,canadees; canadian,"american regions; american, north; amerikaanse gebieden; noord-amerikaans; north american; regions, american"
brazilian,300107967,braziliaans; brazilian,"american regions; american, south; amerikaanse gebieden; regions, american; south american; zuid-amerikaans"
mexican,300107963,mexicaans; mexican,"american regions; american, north; amerikaanse gebieden; noord-amerikaans; north american; regions, american"
south african,300262706,africa del sud; africa do sul; afrique du sud; south africa; south african; sudáfrica; suid-afrika; südafrika; zuid-afrika; zuid-afrikaans,african; african by national designation; afrikaans; afrikaanse nationale stijlen
algerian,300262699,al jaza'ir; al-jaza'ir; algeria; algerian; algerien; algerijns; algerine; algerië; algérie; argelia; argélia; djazaïr; l'algérie; numidia,african; african by national designation; afrikaans; afrikaanse nationale stijlen
tunisian,300238437,tunesisch; tunisian,african by cultural or regional designation; afrikaanse culturele of regionale stijlen; noord-afrikaanse stijl; noord-afrikaanse stijlen; north african; northern african
moroccan,300245255,maroccan; marokkaans; moroccan,african; african by national designation; afrikaans; afrikaanse nationale stijlen
south american,300107964,"american, south; south american; zuid-amerikaans","american regions; americas, the; amerikaanse gebieden; het amerikaanse continent; regions, american; the americas"
performance artist,300025678,"artists, performance; performance artist; performance artist's; performance artists; performance artists'; performance-kunstenaar; performance-kunstenaars",artist; artist's; artists; artists by medium or work type; artists'; kunstenaar; kunstenaars; kunstenaars naar medium of werksoort
eroticism,300249821,"arousal, sexual; erotic; eroticism; erotiek; erotism; excitement, sexual; sexual arousal; sexual excitement","concepts, psychological; concepts, social science; psychological concept; psychological concepts; psychologisch begrip; psychologische begrippen; sociaal-wetenschappelijke begrippen; social science concept; social science concepts"
yugoslav,300111228,joegoslavisch; jugoslav; jugoslavian; yugoslav; yugoslavian,"european; european regions; europees; europese landstreken; europese stijlen en perioden; regions, european"
author,300025492,auteur; auteurs; author; author's; authors; authors'; schrijvers; writers,people in literature; people in literature and related occupations; personen in de literatuur; personen in de literatuur en aanverwante beroepen
hyperrealism,300404781,"hyper realism; hyper-realism; hyper-realist; hyperrealism; hyperrealisme; hyperrealist; realism, super; realist, super; super realism; super realist; super-realism; super-realist; superrealism; superrealist",beeldende kunststijlen en stromingen na 1945; international post-1945 styles and movements; internationale stijlen en stromingen na 1945; post-1945 fine arts styles and movements
australian,300021861,australia; australian; australisch,"oceanian; oceanic; oceanisch; pacific; pacific islander; south seas; stijl en periode naar streek; stijlen en perioden naar streek; styles, periods, and cultures by region"
glass artist,300435183,"artists, glass; glass artist; glass artists; glass-artists",artist; artist's; artists; artists by medium or work type; artists'; kunstenaar; kunstenaars; kunstenaars naar medium of werksoort
venezuelan,300134123,venezuelaans; venezuelan,"american regions; american, south; amerikaanse gebieden; regions, american; south american; zuid-amerikaans"
cuban,300107948,cubaans; cuban,"american regions; amerikaanse gebieden; caribbean; caribisch; regions, american"
colombian,300107969,colombiaans; colombian,"american regions; american, south; amerikaanse gebieden; regions, american; south american; zuid-amerikaans"
die brücke,300440790,"brücke, die; die brucke; die brücke",modern european fine arts styles and movements; modern european styles and movements; moderne europese kunststijlen en stromingen; moderne europese stijlen en stromingen
chilean,300107968,chilean; chileens,"american regions; american, south; amerikaanse gebieden; regions, american; south american; zuid-amerikaans"
scandinavian,300111169,scandinavian; scandinavisch,"european; european regions; europees; europese landstreken; europese stijlen en perioden; regions, european"
publisher,300025574,editeurs; publisher; publisher's; publishers; publishers'; uitgever; uitgeverij; uitgeverijen; uitgevers; uitgeversbedrijven; uitgeversfirma's; uitgevershuizen; uitgeversmaatschappijen,people in communications; people in social science-related occupations; person in communications; personen in beroepen met betrekking tot sociale wetenschappen; personen in communicatieberoepen
naive art,300263555,"art, naive; naive art; naïeve kunst; naïve art","art genre; art genres; genres in de kunsten; genres in the visual arts; genres, art; kunstgenres"
haitian,300107949,haitian; haïtiaans,"american regions; amerikaanse gebieden; caribbean; caribisch; regions, american"
iranian,300266822,iraans; iranian,asian; aziatisch; oriental; west asian; west-aziatisch; western asian
botanical illustration,300386711,"botanical illustration; botanical illustrations; botanische illustratie; botanische illustraties; illustrations, botanical",boekillustratie; boekillustraties; illustratie; illustraties; illustraties naar type onderwerp; illustration; illustrations; illustrations by subject type
americana,300417321,americana,"genres, object; object genre; object genres; object genres by cultural or intellectual evaluation; objectgenres; objectgenres naar culturele of intellectuele waardering"
neo-impressionism,300021505,neo-impressionism; neo-impressionisme; neo-impressionist; neo-impressionistisch; neoimpressionist,modern french fine arts styles and movements; modern french styles and movements; moderne franse kunststijlen en -stromingen; moderne franse stijlen en stromingen
barbizon school,300264658,barbizon; barbizon school; school van barbizon,modern european fine arts styles and movements; modern european styles and movements; moderne europese kunststijlen en stromingen; moderne europese stijlen en stromingen
designer,300025190,designer; designer's; designers; designers'; ontwerper; ontwerpers,people in the visual arts; people in the visual arts and related occupations; personen in de visuele kunsten; personen in de visuele kunsten en aanverwante beroepen
calligrapher,300025107,calligrapher; calligrapher's; calligraphers; calligraphers'; calligraphists; kalligraaf; kalligrafen; penmen,people in the visual arts and related occupations; people in visual arts-related occupations; personen in beroepen met betrekking tot de visuele kunsten; personen in de visuele kunsten en aanverwante beroepen
social realism,300061066,"realism, social; sociaal realisme; sociaal-realistisch; social realism; social realist","expressievormen; expression, forms of; form of expression; forms of expression; naturalism; realism; realisme; realist; realistic; realistisch"
cartographer,300025593,cartograaf; cartografen; cartographer; cartographer's; cartographers; cartographers'; kartografen,"geograaf; geografen; geographer; geographer's; geographers; geographers'; scientists, social; social scientist; social scientist's; social scientists; social scientists'; sociale wetenschapper; sociale wetenschappers"
puerto rican,300107951,portoricaans; puerto rican,"american regions; amerikaanse gebieden; caribbean; caribisch; regions, american"
counterfeiter,300025838,counterfeiter; counterfeiter's; counterfeiters; counterfeiters'; falsarissen; vervalser; vervalsers,boeven; criminal; criminal's; criminals; criminals'; crimineel; criminelen; people by activity; personen naar activiteit; schurken
bolivian,300107966,boliviaans; bolivian,"american regions; american, south; amerikaanse gebieden; regions, american; south american; zuid-amerikaans"
surinamese,300386538,surinaams; surinamese,"american regions; american, south; amerikaanse gebieden; regions, american; south american; zuid-amerikaans"
peruvian,300107971,peruaans; peruviaans; peruvian,"american regions; american, south; amerikaanse gebieden; regions, american; south american; zuid-amerikaans"
danube style,300263782,danube school; danube style; donauschool; donaustil; regensburg,"duitse renaissance- en barokstijlen; german renaissance-baroque style; german renaissance-baroque styles; regionale stijl van renaissance en barok; regionale stijlen van renaissance en barok; renaissance-baroque regional style; renaissance-baroque regional styles; styles, german renaissance-baroque; styles, renaissance-baroque regional"
tachism,300022105,abstraction lyrique; tachism; tachisme; tachist; tachiste,"art autre; art informel; art without form; art, informal; beeldende kunststijlen en stromingen na 1945; informele kunst; l'art informel; post-1945 fine arts styles and movements"
uruguayan,300107972,uruguayaans; uruguayan,"american regions; american, south; amerikaanse gebieden; regions, american; south american; zuid-amerikaans"
pre-raphaelite,300021225,pre-raphaelite; pre-raphaelitism; prerafaëlitisch; preraphaelitism,modern british fine arts styles and movements; modern british styles and movements; moderne britse kunststijlen en -stromingen; moderne britse stijlen en stromingen
young british artists,300263412,"art, young british; british art, young; britpop; yba; young british art; young british artists",beeldende kunststijlen en stromingen na 1945; international post-1945 styles and movements; internationale stijlen en stromingen na 1945; post-1945 fine arts styles and movements
senegalese,300262583,senegalees; senegalese,african; african by national designation; afrikaans; afrikaanse nationale stijlen
ghanaian,300262651,gana; ghana; ghanaian; ghanees; ghanian,african; african by national designation; afrikaans; afrikaanse nationale stijlen
glazier,300025286,glass cutters; glaszetters; glazenmaker; glazenmakers; glazers; glazier; glazier's; glaziers; glaziers',glass-worker; glass-workers; glassworker; glassworker's; glassworkers; glassworkers'; glaswerker; glaswerkers; people in crafts and trades by material; personen in ambachten en beroepen naar materiaal
angolan,300262700,angola; angolan; angolees; portuguese west africa,african; african by national designation; afrikaans; afrikaanse nationale stijlen
ivorian,300262653,costa del marfil; costa do marfim; côte d'ivoire; elfenbeinküste; ivoorkust; ivoriaans; ivorian; ivory coast,african; african by national designation; afrikaans; afrikaanse nationale stijlen
cameroonian,300262992,camarao; cameroon; cameroonian; cameroun; camerounian; camerún; kameroen; kameroens; kamerun,african; african by national designation; afrikaans; afrikaanse nationale stijlen
kenyan,300262654,british east africa; british east africa protectorate; east africa protectorate; jamhuri ya kenya; kenia; keniaans; kenya; kenyan; quênia,african; african by national designation; afrikaans; afrikaanse nationale stijlen
libyan,300262640,libia; libie; libisch; libiya; libië; libya; libyan; libye; libyen; líbya,african; african by national designation; afrikaans; afrikaanse nationale stijlen
mozambican,300262725,mosambik; mozambican; mozambikaans; mozambique; moçambique,african; african by national designation; afrikaans; afrikaanse nationale stijlen
nigerian,300015776,nigeriaans; nigerian,african; african by national designation; afrikaans; afrikaanse nationale stijlen
zimbabwean,300263701,zimbabwaans; zimbabwean,african; african by national designation; afrikaans; afrikaanse nationale stijlen
costa rican,300386018,costa ricaans; costa rican,"american regions; american, central; amerikaanse gebieden; centraal-amerikaans; central american; regions, american"
nicaraguan,300107954,nicaraguaans; nicaraguan,"american regions; american, central; amerikaanse gebieden; centraal-amerikaans; central american; regions, american"
paraguayan,300107970,paraguayaans; paraguayan,"american regions; american, south; amerikaanse gebieden; regions, american; south american; zuid-amerikaans"
art critic,300168235,"art critic; art critic's; art critics; art critics'; art journalists; critics, art; kunstcritici; kunstcriticus",people in arts-related occupations; people in the arts and related occupations; personen in beroepen met betrekking tot de kunsten; personen in de kunsten en aanverwante beroepen
singaporean,300386532,singaporean; singaporees,"asian; asian, southeast; aziatisch; greater indian; oriental; south-east asian; southeast asian; zuidoost-aziatisch"
sri lankan,300019068,singalese; singhalese; sinhalese; sri lankan; srilankaans,"asian; asian, south; aziatisch; indian subcontinent; oriental; south asian; zuid-aziatisch"
silversmith,300025323,silversmith; silversmith's; silversmiths; silversmiths'; zilversmeden; zilversmid,"metaalwerker naar type metaal; metaalwerkers naar type metaal; metalworkers by type of metal; silver worker; silver workers; workers, silver"
master builder,300386353,"bouwmeester; bouwmeesters; builders, master; master builder; master builders","bouwvakker; bouwvakkers; building worker; building workers; construction worker; construction worker's; construction workers; construction workers'; people in engineering, building trades and planning; personen in de bouwtechniek, bouwhandel en planning; workers, construction"
caricature,300015634,caricature; caricatures; karikaturen; karikatuur; zerrbild,beeldmateriaal naar vorm; beeldmateriaal naar vorm: afbeeldingsvorm; visual works by form; visual works by form of image
decorative artist,300386189,"artists, decorative; decoratief kunstenaar; decoratieve kunstenaars; decorative artist; decorative artists; kunstnijveraars",artist; artist's; artists; artists by medium or work type; artists'; kunstenaar; kunstenaars; kunstenaars naar medium of werksoort
design studio,300312300,"design studio; design studios; designer's studios; designers' studios; ontwerpstudio; ontwerpstudio's; studios, design",ateliers en studio's op functie; studio; studio's; studios; studios by function
art theorist,300435134,"art theoreticians; art theorist; art theorists; theorists, art",people in arts-related occupations; people in the arts and related occupations; personen in beroepen met betrekking tot de kunsten; personen in de kunsten en aanverwante beroepen
cypriote,300020627,cypriot; cypriote; cypriotisch,"early western world; near eastern; van het nabije oosten; vroege westerse wereld; western world, early"
yemeni,300386609,jemenitisch; yemeni,asian; aziatisch; oriental; west asian; west-aziatisch; western asian
malaysian,300018701,malaysian; maleisisch,"asian; asian, southeast; aziatisch; greater indian; oriental; south-east asian; southeast asian; zuidoost-aziatisch"
abstraction,300056508,abstractie; abstraction; abstractions,"expressievormen; expressievormen: beeldende kunsten; expression, forms of; form of expression; forms of expression; forms of expression for visual arts"
art collector,300435149,"art collector; art collectors; collectors, art",collectioneurs; collector; collector's; collectors; collectors'; people by activity; personen naar activiteit; verzamelaar; verzamelaars
collector,300025234,collectioneurs; collector; collector's; collectors; collectors'; verzamelaar; verzamelaars,human beings; humans; people; people by activity; person; personen; personen naar activiteit; persons; persoon
taiwanese,300386542,taiwanees; taiwanese,"asian; asian, east; aziatisch; east asian; oost-aziatisch; oriental"
orientalism,300055784,orientalism; orientalist; oriëntalisme,cultural movements and attitudes; culturele stromingen en opvattingen; exoticism; exoticisme
art historian,300025541,"art historian; art historian's; art historians; art historians'; historians, art; kunsthistorici; kunsthistoricus",people in arts-related occupations; people in the arts and related occupations; personen in beroepen met betrekking tot de kunsten; personen in de kunsten en aanverwante beroepen
museum director,300386267,"directors, museum; museum director; museum directors; museumdirecteur; museumdirecteuren",directeur; directeuren; director; director's; directors; directors'; executive; executive's; executives; executives'; leidinggevende; leidinggevenden
pakistani,300266840,pakistaans; pakistani,"asian; asian, south; aziatisch; indian subcontinent; oriental; south asian; zuid-aziatisch"
science fiction,300055919,"fiction, science; science fiction; sciencefiction",fictie; fiction; fictional; genres in literature and performing arts; literaire en mondelinge genres
entrepreneur,300025222,entrepreneur; entrepreneur's; entrepreneurs; entrepreneurs'; ondernemer; ondernemers,businesspeople; businesspeople's; businessperson; businessperson's; people in commerce and business; personen in de handel en zakenwereld; zakenlui; zakenmensen
glass manufacturer,300435184,"glasbedrijf; glasbedrijven; glasfabrikant; glasfabrikanten; glass manufacturer; glass manufacturers; manufacturers, glass",fabrikant; fabrikanten; industrialist; industrialist's; industrialists; industrialists'; industrieel; industriëlen; manufacturer; manufacturer's; manufacturers; manufacturers'
ecuadorian,300178973,ecuadoriaans; ecuadorian,"american regions; american, south; amerikaanse gebieden; regions, american; south american; zuid-amerikaans"
actor,300025658,acteur; acteurs; actor; actor's; actors; actors and actresses; actors'; actress; actresses; attore; attrice; attrici; players; toneelspeler; toneelspelers,"artiest; artiesten; artiste; artistes; artists, performing; people in the performing arts; performer; performers; performing artist; performing artist's; performing artists; performing artists'; person in the performing arts; personen in de uitvoerende kunsten; uitvoerend kunstenaar; uitvoerend kunstenaars"
jamaican,300107950,jamaicaans; jamaican,"american regions; amerikaanse gebieden; caribbean; caribisch; regions, american"
fairy tale,300185684,"fairy stories; fairy tale; fairy tales; sprookje; sprookjes; stories, fairy; tales, fairy",genres for literature; genres in literature and performing arts; literaire en mondelinge genres; soort literair document; soorten literaire documenten
framemaker,300386294,frame-makers; framemaker; framemakers; lijstenmaker; lijstenmakers,people in crafts and trades; people in crafts and trades by activity; personen in ambachten en beroepen; personen in ambachten en beroepen naar activiteit
war,300055314,oorlog; oorlogen; war; wars,armed conflict; armed conflicts; event; events; gebeurtenis; gebeurtenissen; gewapend conflict; gewapende conflicten; militaire activiteiten
dutch antillean,300387755,antilliaans; dutch antillean; netherlands antillean,"american regions; amerikaanse gebieden; caribbean; caribisch; regions, american"
silver worker,300435190,"silver worker; silver workers; workers, silver","metaalbewerkers; metaalwerker; metaalwerker naar type metaal; metaalwerkers; metaalwerkers naar type metaal; metal smiths; metal-worker; metal-workers; metalsmith; metalsmiths; metalworker; metalworker's; metalworkers; metalworkers by type of metal; metalworkers'; smiths; smiths, metal"
turner,300025381,draaiers; houtdraaier; houtdraaiers; turner; turner's; turners; turners'; woodturners,people in crafts and trades; people in crafts and trades by activity; personen in ambachten en beroepen; personen in ambachten en beroepen naar activiteit
printing plant,300006247,"drukkerij; drukkerijen; plants, printing; printing plant; printing plants; printing works","buildings, factory; fabrieken naar functie; fabrieksgebouw; fabrieksgebouwen; factories; factories by function; factory; factory buildings; plants; works"
biomorphic abstraction,300069065,"abstraction, biomorphic; abstraction, creative; biomorfische abstractie; biomorphic; biomorphic abstraction; biomorphic concretions; biomorphism; concretions, humor; creative abstraction; humor concretions; organische abstractie",abstractie; abstraction; abstractions; expressievormen: beeldende kunsten; forms of expression for visual arts
oil paint,300015050,"oil; oil color; oil colour; oil colours; oil paint; oil paints; oils; olieverf; paint, oil",paint; paint by composition or origin; paints; verf; verf naar samenstelling of herkomst
zinc,300011037,zinc; zink; zn,"metal, non-ferrous; metal, nonferrous; non-ferrometaal; non-ferrous metal; non-ferrous metals; nonferrous metal; nonferrous metals; zinc and zinc alloys; zink en zinklegering"
architectural metalwork,300411548,"architectural metalwork; metalwork, architectural; siersmeedwerk",beeldende werken naar medium of techniek; beeldmateriaal naar medium of techniek; metaalwerk; metal-work; metalwork; metalworks; visual works by material or technique
concrete,300010737,beton; concrete,anorganisch materiaal; inorganic material; materiaal naar samenstelling; materialen naar samenstelling; materials by composition
synthetic fiber,300014058,"fiber, synthetic; fibre, synthetic; kunstvezel; synthetic fiber; synthetic fibers; synthetic fibre; synthetic fibres; synthetische vezel",fiber; fiber and fiber by product; fibers; fibre; fibres; fibril; vezel; vezel en vezelproduct; vezel en vezelproducten
metal,300010900,metaal; metal; metals,anorganisch materiaal; inorganic material; materiaal naar samenstelling; materialen naar samenstelling; materials by composition
living rock,300264873,"levend gesteente; living rock; rock, living",gesteente; gesteente naar vorm; rock; rock by form; rocks
noble metal,300241621,"edelmetaal; metal, noble; noble metal; noble metals",metaal; metaal naar kwaliteit; metal; metal by quality; metals
silverware,300234016,silverware; tafelzilver; zilverwerk,beeldende werken naar medium of techniek; beeldmateriaal naar medium of techniek; metaalwerk; metal-work; metalwork; metalworks; visual works by material or technique
fauvism,300021300,fauve; fauvism; fauvisme; fauvist; fauvistisch,modern french fine arts styles and movements; modern french styles and movements; moderne franse kunststijlen en -stromingen; moderne franse stijlen en stromingen
subway,300008577,"metro; metro's; metros; railways, underground; subway; subway lines; subways; u-bahns; underground railroads; underground railway; underground railway systems; underground railways; undergrounds","facilities, rapid transit; fixed-guideway transit; rail rapid transit; rail rapid transit systems; rail transit; rail transit system; rail transit systems; rail transit systems, rapid; rail transit, rapid; rail-rapid transit; railtransport; railvervoersysteem; railvervoersystemen; railway system; railway systems; railways, rapid transit; railways, rapid-transit; rapid rail transit; rapid rail transit system; rapid rail transit systems; rapid transit; rapid transit facilities; rapid transit railways; rapid transit systems; rapid transit, rail; rapid-transit; rapid-transit railways; rrt; sistema de transporte de tren rápido; snelrailvervoersysteem; snelrailvervoersystemen; systems, rail transit; systems, railway; systems, rapid rail transit; systems, rapid transit; transit railways, rapid; transit systems, rail; transit systems, rapid rail; transit, fixed-guideway; transit, rail; transit, rail rapid; transit, rail-rapid; transit, rapid"
bookseller,300025244,boekhandelaar; boekhandelaren; boekverkoper; boekverkopers; bookseller; bookseller's; booksellers; booksellers',kooplieden; kooplui; koopman; merchant; merchant's; merchants; merchants'; people in commerce and business; personen in de handel en zakenwereld; traders
tapestry artist,300435157,"artists, tapestry; tapestry artist; tapestry artists","artists by medium or work type; artists, textile; kunstenaars naar medium of werksoort; textielkunstenaar; textielkunstenaars; textile artist; textile artists"
publishing house,300386627,"houses, publishing; presses; publishing firms; publishing house; publishing houses; uitgeverij; uitgeverijen; uitgeversbedrijven; uitgeversfirma's; uitgevershuizen; uitgeversmaatschappijen","business; business enterprise; business enterprises; business enterprises by function; business organisations; business organizations; businesses; commercial enterprises; enterprises; enterprises, business; handelsonderneming; handelsonderneming naar functie; handelsondernemingen; handelsondernemingen naar functie"
artists' collective,300265433,"artist collective; artists collective; artists' collective; artists' collectives; collectives, artists'; kunstenaarscollectieven",association; associations; organisatie; organisaties; organisations; organization; organizations; vereniging; verenigingen
bookbinder,300025704,binder; binders; boekbinder; boekbinders; bookbinder; bookbinder's; bookbinders; bookbinders',people in crafts and trades by activity; people in the printing industry; personen in ambachten en beroepen naar activiteit; personen in de grafische industrie
shopkeeper,300025247,shopkeeper; shopkeeper's; shopkeepers; shopkeepers'; storekeepers; winkelier; winkeliers,detailhandelaar; detailhandelaars; kooplieden; kooplui; koopman; merchant; merchant's; merchants; merchants'; retailer; retailer's; retailers; retailers'; traders
potter,300025414,pottenbakker; pottenbakkers; potter; potter's; potters; potters'; pottery maker,"artist, ceramics; artists, ceramic; ceramic artist; ceramic artists; ceramicist; ceramicist's; ceramicists; ceramicists'; ceramist; ceramisten; ceramists; keramist; keramisten; people in crafts and trades by material; personen in ambachten en beroepen naar materiaal"
heraldry,300077808,heraldic; heraldiek; heraldry,"disciplines, history-related; geschiedenis en aanverwante vakgebieden; history and related disciplines; history-related discipline; history-related disciplines; met geschiedenis verwante vakgebieden; vakgebied gerelateerd aan geschiedenis"
social anthropology,300137966,"anthropology, cultural; anthropology, social; cultural anthropology; culturele antropologie; social anthropology; volkenkunde","anthropological; anthropology; antropologie; behavioral science; behavioral sciences; behavioural science; behavioural sciences; gedragswetenschappen; sciences, behavioral; sciences, behavioural"
south korean,300386536,south korean; zuid-koreaans,"asian, east; corean; east asian; koreaans; korean; oost-aziatisch"
north korean,300386469,noord-koreaans; north korean,"asian, east; corean; east asian; koreaans; korean; oost-aziatisch"
north american,300134121,"american, north; noord-amerikaans; north american","american regions; americas, the; amerikaanse gebieden; het amerikaanse continent; regions, american; the americas"
central american,300107952,"american, central; centraal-amerikaans; central american","american regions; americas, the; amerikaanse gebieden; het amerikaanse continent; regions, american; the americas"
surveyor,300025100,landmeter; landmeters; surveyor; surveyor's; surveyors; surveyors',"people by occupation; people in engineering, building trades and planning; personen in de bouwtechniek, bouwhandel en planning; personen naar beroep"
african american,300018125,african american; afro-american; afro-amerikaans; black; negro,modern american; modern north american; moderne amerikaanse stijlen en perioden; moderne noord-amerikaanse stijlen en stromingen
wildlife,300249500,wild life; wildlife,levend organisme; levende organismen; living organism; living organisms; organisms
patron,300115251,begunstiger; begunstigers; benefactor; benefactors; mecenas; mecenassen; opdrachtgever; opdrachtgevers; patron; patron's; patrons; patrons',filantroop; filantropen; filantropist; filantropisten; people by activity; personen naar activiteit; philanthropist; philanthropist's; philanthropists; philanthropists'
photogram,300127296,"cameraless images; cameraless photographs; fotogram; fotogrammen; lensless photographs; photogram; photograms; photographs, cameraless; photographs, lensless; physiotypes; rayograms; rayographs; schadograms; schadographs; shadow pictures; shadowgraphs",foto's naar techniek; foto's naar verwerking of presentatietechniek; photographs by processing or presentation technique; photographs by technique
seating furniture,300037769,"furniture, seat; furniture, seating; seat furniture; seating furniture; zitmeubel; zitmeubels",furniture; furniture by form or function; meubilair; meubilair naar vorm of functie
street lighting,300052040,"lighting, street; straatverlichting; street lighting; street-lighting","infrastructural system; infrastructural systems; infrastructurele voorziening; infrastructurele voorzieningen; nutsvoorziening; nutsvoorzieningen; systems, infrastructural; utilities; utility"
artist,300025103,artist; artist's; artists; artists'; kunstenaar; kunstenaars,people in the visual arts; people in the visual arts and related occupations; personen in de visuele kunsten; personen in de visuele kunsten en aanverwante beroepen
clay,300010439,clay; clays; klei,anorganisch materiaal; inorganic material; materiaal naar samenstelling; materialen naar samenstelling; materials by composition
aluminum,300011015,al; aluminium; aluminum,"aluminium en aluminiumlegering; aluminum and aluminum alloys; metal, non-ferrous; metal, nonferrous; non-ferrometaal; non-ferrous metal; non-ferrous metals; nonferrous metal; nonferrous metals"
fruit,300011868,fruit; fruits; vrucht,"biological component; biological components; biologische componenten; components, biological; components, plant; plant component; plant components; plantonderdelen"
menu,300027191,bills of fare; menu; menukaart; menukaarten; menus,lijst; lijsten; lijsten (informatiedragers) naar vorm of functie; list; lists; lists by form or function
livre d'artiste,300201058,artists' illustrated books; livre d'artiste; livre d'artistes; livre de peintres; livres d'artiste; livres d'artistes; livres de peintres,"document genre; document genres; documentgenre; documentgenres; documents by conditions of production; documentsoort; documentsoorten; genres, document; soorten documenten; soorten documenten naar productieomstandigheden"
banquet piece,300265043,bancket; bancquet; banketgens; banketje; banketjes; banquet piece; banquet pieces; banquet-piece; banquet-pieces; banquets,beeldende werken naar onderwerp; beeldmateriaal naar onderwerp; bodegone; bodegones; bodegóne; bodegónes; nature mortes; still life; still lifes; still lives; still-leven; still-life; still-lifes; stilleven; stillevens; visual works by subject type
rattan,300011865,ratan; rattan; rotan,"cane; dikke stengel; material, plant; plant material; plant materials; plantaardig materiaal"
pyrography,300053841,"brandwerk; etching, fire; fire etching; houtbranden; pyrografie; pyrografisch; pyrographic; pyrography; wood-burning; woodburning",oppervlaktebedekkingsprocedés en -technieken; procedés en technieken naar specifiek type; processes and techniques by specific type; surface marking processes and techniques
manufacturer,300025230,fabrikant; fabrikanten; manufacturer; manufacturer's; manufacturers; manufacturers',industrialist; industrialist's; industrialists; industrialists'; industrieel; industriëlen; people in commerce and business; personen in de handel en zakenwereld
